Judet,Total someri ,Total someri femei  ,Total someri barbati  ,  Rata somajului ,  Rata somajului feminina,  Rata somajului masculina ,Someri mediul urban,Someri mediul rural,Fara studii,Invatamant primar ,Invatamant gimnazial ,Invatamant liceal,invatamant Posticeal,invatamant Profesional,Invatamant universitar,Sub 25 ani,25-29 ani,30-39 ani,40-49 ani,50-55 ani,Peste 55 ani,Prescurtari,Latitudine,Longitudine
ALBA ,4997,2440,2557,3.17,3.43,2.95,1652,3345,313,860,1570,994,49,853,358,382,302,979,1305,1013,1016,AB,46.0669,23.5774
ARAD,2829,1453,1376,1.46,1.75,1.24,929,1900,744,379,809,391,27,284,195,184,116,465,782,659,623,AR,46.1866,21.319
ARGES,8197,3843,4354,3.51,3.55,3.47,1071,7126,428,2299,2833,987,91,1277,282,581,468,1575,2136,1644,1793,AG,44.8606,24.9575
BACAU,6208,2647,3561,3.27,3.28,3.26,1726,4482,532,1143,2467,755,42,1042,227,379,272,917,1623,1381,1636,BC,46.5672,26.912
BIHOR,4703,2478,2225,1.98,2.37,1.67,1186,3517,604,1400,1255,628,54,443,319,324,316,966,1271,784,1042,BH,47.0465,21.9522
BISTRITA NASAUD,4564,2183,2381,3.94,4.44,3.58,1405,3159,306,612,1656,1000,50,753,187,342,273,677,1122,890,1260,BN,47.1354,24.4897
BOTOSANI,4585,2044,2541,4.11,4.01,4.19,1203,3382,143,924,2163,547,33,687,88,216,219,885,1323,975,967,BT,47.7486,26.663
BRAILA,4252,1800,2452,3.86,3.56,4.12,967,3285,581,1044,1687,312,62,446,120,301,198,723,1132,720,1178,BR,45.2692,27.9574
BRASOV,6395,2929,3466,2.46,2.57,2.38,1608,4787,704,1722,2593,550,45,467,314,703,470,1441,1566,1056,1159,BV,45.658,25.5696
BUZAU,7350,3130,4220,5.06,4.98,5.11,1275,6075,790,1798,2728,769,53,1101,111,387,273,987,1851,1856,1996,BZ,45.1481,26.8241
CALARASI,4103,1916,2187,5.38,5.55,5.23,970,3133,504,1130,1476,477,39,417,60,531,187,834,1086,682,783,CL,44.2068,27.3387
CARAS-SEVERIN,2883,1337,1546,3.09,3.37,2.89,1192,1691,291,490,881,635,42,381,163,188,160,462,734,613,726,CS,45.3008,22.2151
CLUJ,4864,2457,2407,1.35,1.53,1.2,1866,2998,850,859,1234,685,101,710,425,475,300,945,1234,913,997,CJ,46.7712,23.5726
CONSTANTA,4731,2763,1968,1.69,2.29,1.24,1930,2801,774,842,1314,912,48,556,285,318,229,742,1195,765,1482,CT,44.1598,28.6348
COVASNA,3103,1443,1660,3.86,4.02,3.74,871,2232,488,1327,687,296,26,234,45,482,226,681,761,511,442,CV,45.8683,26.141
DAMBOVITA,5151,2569,2582,3.02,3.68,2.57,861,4290,412,1288,1803,798,51,644,155,424,299,958,1269,1075,1126,DB,44.9333,25.4597
DOLJ,18380,8311,10069,7.96,8.18,7.79,2339,16041,1355,5404,6783,2425,92,2000,321,1474,1233,3524,4752,3545,3852,DJ,44.3302,23.7949
GALATI,8414,3561,4853,5,4.7,5.25,1366,7048,1053,1986,3349,727,46,987,266,516,378,1309,2336,1611,2264,GL,45.435,28.0544
GIURGIU,2070,1060,1010,3.11,3.64,2.69,335,1735,247,404,862,332,17,163,45,198,147,386,555,368,416,GR,43.9037,25.9699
GORJ,4086,2100,1986,3.34,3.79,2.97,1206,2880,0,571,1319,941,59,964,232,197,173,642,1017,1016,1041,GJ,45.0382,23.2746
HARGHITA,5571,2642,2929,4.52,5.08,4.11,1562,4009,1154,1715,1340,650,51,521,140,829,423,1218,1354,874,873,HR,46.3606,25.5976
HUNEDOARA,7513,4147,3366,4.82,5.7,4.06,4786,2727,567,1066,2047,1998,134,1126,575,788,591,1328,1761,1626,1419,HD,45.8833,22.9121
IALOMITA,4095,1911,2184,5.15,5.38,4.96,944,3151,410,996,1661,377,32,579,40,266,186,723,1105,714,1101,IL,44.5642,27.5835
IASI,9731,4236,5495,3.53,3.37,3.66,1177,8554,536,2271,3459,711,59,2391,304,543,429,1706,2827,1668,2558,IS,47.1585,27.5749
ILFOV,1013,629,384,0.47,0.72,0.3,216,797,105,241,321,140,3,100,103,75,53,214,248,202,221,IF,44.4268,26.0974
MARAMURES,4361,2182,2179,2.44,2.76,2.19,1965,2396,301,991,1205,737,85,766,276,481,228,983,1183,781,705,MM,47.6584,23.58
MEHEDINTI,6663,2903,3760,7.81,7.56,8.02,1074,5589,638,1187,2873,1072,45,734,114,374,294,983,1763,1475,1774,MH,44.6319,22.6561
MUN. BUCURESTI,10510,6116,4394,0.83,0.96,0.7,10510,0,17,66,1779,3442,233,1969,3004,208,846,2381,2678,2416,1981,B,44.4268,26.1025
MURES,7428,3331,4097,3.48,3.71,3.31,1917,5511,1024,2951,1969,593,59,651,181,988,630,1614,1892,952,1352,MS,46.5456,24.5624
NEAMT,8330,3608,4722,5.38,5.22,5.5,1322,7008,627,1504,3072,936,73,1883,235,453,351,1395,2300,1823,2008,NT,46.9312,26.3709
OLT,7415,3359,4056,5.55,5.78,5.37,1388,6027,645,888,3153,1221,79,1304,125,669,603,1093,1879,1544,1627,OT,44.4304,24.3714
PRAHOVA,6644,3417,3227,2.43,3.03,2.01,1930,4714,513,1229,2023,1044,90,1420,325,508,293,1178,1790,1497,1378,PH,44.9493,26.0365
SALAJ,5140,2233,2907,5.54,5.62,5.48,820,4320,670,1651,1513,528,36,621,121,659,361,1161,1319,820,820,SJ,47.1866,23.0635
SATU MARE,5789,2721,3068,4.43,4.58,4.3,1179,4610,986,2305,1686,338,22,361,91,750,433,1335,1621,855,795,SM,47.7919,22.8853
SIBIU,4937,2365,2572,2.58,2.76,2.43,1322,3615,539,1956,1182,434,35,555,236,457,391,1193,1286,678,932,SB,45.7983,24.1256
SUCEAVA,11859,5060,6799,6.04,5.89,6.16,2962,8897,961,2850,4445,1385,94,1826,298,1154,797,2513,3148,1778,2469,SV,47.6514,26.2555
TELEORMAN,9572,3885,5687,8.65,7.69,9.46,1608,7964,930,1240,5328,991,40,940,103,602,498,1707,2498,1976,2291,TR,43.9716,25.3356
TIMIS,2910,1544,1366,0.87,1.05,0.72,1201,1709,472,266,700,589,46,409,428,162,135,565,767,530,751,TM,45.7489,21.2087
TULCEA,2477,1225,1252,3.36,3.59,3.16,521,1956,0,354,1235,438,0,382,68,177,249,371,481,589,610,TL,45.1796,28.8069
VALCEA,3585,1895,1690,2.5,3.03,2.1,1362,2223,69,278,929,1031,82,918,278,213,196,510,889,954,823,VL,45.0997,24.3693
VASLUI,9383,3909,5474,8.65,7.68,9.5,1187,8196,428,2095,4392,946,41,1397,84,297,298,1388,2769,2321,2310,VS,46.6407,27.7276
VRANCEA,2743,1329,1414,2.37,2.51,2.24,510,2233,151,761,1044,379,40,295,73,251,131,488,648,595,630,VR,45.696,27.1833
ROMANIA,249534,117111,132423,3.1,3.23,2.99,67421,182113,22862,55343,86825,35141,2406,35557,11400,19506,14655,46145,65256,48745,55227,RO,,
